Source_Name,Target_Name,Edge_Effect
41BBL,T,Activate
41BBL,B,Activate
Antibody,DC,Activate
Antibody,pDC,Activate
Antibody,Basophil,Activate
Antibody,NK,Activate
Antibody,Mast,Activate
APC,T_CD4 (effector),Activate
APC,T_CD4 (effector),Activate
APC,Th1,Activate
APRIL,B,Activate
APRIL,B,Activate
APRIL,B,Activate
APRIL,B,Activate
B,T_CD4,Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B,T_CD4 (effector),Activate
B,Tfh,Activate
B,Tfh,Activate
B,Tfh,Activate
B_memory,Tfh,Activate
B_memory,Tfh,Activate
B_memory,Tfh,Activate
Bacteria,Epithelial_intestine,Activate
Bacteria,Epithelial_intestine,Activate
Bacteria,DC,Activate
Bacterial metabolites,T_MAIT,Activate
Bacterial Peptidoglycans,DC,Activate
Bacterial Peptidoglycans,Monocyte,Activate
Bacterial Peptidoglycans,Neutrophil,Activate
Bacterial Peptidoglycans,Epithelial_barrier,Activate
Bacterial Peptidoglycans,DC,Activate
Bacterial Peptidoglycans,Macrophage,Activate
Bacterial Peptidoglycans,Epithelial_intestine,Activate
Bacterial Peptidoglycans,Paneth,Activate
Bacterial proteins,Epithelial_intestine,Activate
Bacterial proteins,Epithelial_intestine,Activate
Bacterial proteins,DC (CD8a+),Activate
BAFF,B,Activate
BAFF,B_marginalzone,Activate
BAFF,B,Activate
BAFF,B,Activate
b-glucan,DC,Activate
b-glucan,Basophil,Activate
b-glucan,DC,Activate
b-glucan,Eosinophil,Activate
b-glucan,Mast,Activate
b-glucan,Monocyte,Activate
C3a,Macrophage,Activate
C3a,Endothelial,Activate
C3a,Mast,Activate
C3a,Endothelial,Activate
C3a,Mast,Activate
C3a,Endothelial_vascular,Activate
C3a,Mast,Activate
C3b,Neutrophil,Activate
C3b,Macrophage,Activate
C3b,Monocyte,Activate
C3b,B,Activate
C3b,FDC,Activate
C3b,Erythrocyte,Activate
C3b,Macrophage,Activate
C3b,Neutrophil,Activate
C3b,Macrophage,Activate
C3b,Neutrophil,Activate
C3b,Macrophage,Activate
C3b,Eosinophil,Activate
C3d,B,Activate
C3d,FDC,Activate
C3d,B,Activate
C3dg,B,Activate
C3dg,B,Activate
C3dg,B,Activate
C3dg,FDC,Activate
C3dg,B,Activate
C4bi,Monocyte,Activate
C4bi,B,Activate
C4bi,FDC,Activate
C4bi,Erythrocyte,Activate
C4bi,Macrophage,Activate
C4bi,Neutrophil,Activate
C5a,Macrophage,Activate
C5a,Endothelial,Activate
C5a,Mast,Activate
C5a,Neutrophil,Activate
C5a,Endothelial,Activate
C5a,Mast,Activate
C5a,Endothelial,Activate
C5a,Endothelial,Activate
C5a,Endothelial_vascular,Activate
C5a,Macrophage,Activate
C5a,Mast,Activate
C5a,Mast,Activate
C5a,Mast,Activate
C5a,Monocyte,Activate
C5a,Neutrophil,Activate
C5a,Neutrophil,Activate
C5a,Neutrophil,Activate
C5a,Mast,Activate
CCL11,Basophil,Activate
CCL13,Eosinophil,Activate
CCL19,DC,Activate
CCL2,Macrophage,Activate
CCL2,Basophil,Activate
CCL2,Monocyte,Activate
CCL21,DC,Activate
CCL21,DC,Activate
CCL24,Basophil,Activate
CCL26,Basophil,Activate
CCL3,Macrophage,Activate
CCL4,Macrophage,Activate
CCL5,T,Activate
CCL5,Basophil,Activate
CCL5,Eosinophil,Activate
CCL5,Macrophage,Activate
CCL7,Eosinophil,Activate
CD27L,T,Activate
CD30L,T,Activate
CD30L,B,Activate
CD40L,B,Activate
Chitin,Basophil,Activate
Chitin,Eosinophil,Activate
Chitin,Mast,Activate
Chitin,Epithelial,Activate
CpG DNA,B,Activate
CXCL1,Neutrophil,Activate
CXCL1,Fibroblast,Activate
CXCL11,Macrophage,Activate
CXCL2,Neutrophil,Activate
CXCL2,Fibroblast,Activate
CXCL3,Neutrophil,Activate
CXCL3,Fibroblast,Activate
CXCL7,Neutrophil,Activate
CXCL8,Neutrophil,Activate
IL18,Neutrophil,Activate
CXCL8,Neutrophil,Activate
CXCL8,Neutrophil,Activate
CXCL8,Macrophage,Activate
CXCL9,Macrophage,Activate
DC,T_CD8,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,B_memory,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_CD8,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_CD4,Activate
DC,T_CD8,Activate
DC,T_NKT,Activate
DC,T_CD8,Activate
DC,T_CD8,Activate
DC,T_CD8,Activate
