id,state,district,location,latitude,longitude,day,month,year
KN/DHA/2021/06 /0064,Karnataka,Dharwad,Mandihal,15.450308,74.90513,9,2,2021
AS/KOK/2020/42/448,Assam,Kokrajhar,Pratapkhata,26.381954,90.129016,6,7,2020
AS/KOK/2020/42/448,Assam,Kokrajhar,Serfanguri,26.546824,90.17116,6,7,2020
AS/KOK/2020/42/448,Assam,Kokrajhar,Balajan,26.485084,90.303369,6,7,2020
AS/KOK/2020/42/448,Assam,Kokrajhar,Kachugaon,26.383052,90.031295,6,7,2020
AS/DAR/2020/40/442,Assam,Darrang,Hazarikapara,26.393053,91.958982,4,10,2020
AS/DAR/2020/40/442,Assam,Darrang,Mathanga,26.510773,91.995503,4,10,2020
AS/DAR/2020/40/442,Assam,Darrang,Dhula,26.484515,92.095299,4,10,2020
AS/DAR/2020/40/442,Assam,Darrang,Tengera,26.450595,91.817809,4,10,2020
AS/DAR/2020/40/442,Assam,Darrang,Turai,26.426876,91.890588,4,10,2020
JH/GDA/2020/37/437,Jharkhand,Godda,Godda,24.828234,87.213485,3,9,2020
AS/CRG/2020/36/422,Assam,Chirang,Ballamguri,26.465757,89.970013,19,8,2020
PN/KAR/2020/36/434,Puduchchery,Karaikal,Dharmapuram,10.92509,79.812734,2,9,2020
AS/KOK/2020/35/417,Assam,Kokrajhar,Dotma,26.483882,90.164099,16,7,2020
AS/KOK/2020/35/417,Assam,Kokrajhar,Balajan,26.485084,90.303369,16,7,2020
AS/KOK/2020/35/417,Assam,Kokrajhar,Gossaigaon,26.435876,89.98043,16,7,2020
AS/KOK/2020/35/417,Assam,Kokrajhar,"Saktiashram, Chokapara",26.408579,90.176192,16,7,2020
JH/GDA/2020/34/409,Jharkhand,Godda,Boarijore (Boarijor),25.061988,87.474831,21,8,2020
JH/GDA/2020/34/409,Jharkhand,Godda,Lohandia (Lohandiya),25.052029,87.375425,21,8,2020
AS/CRG/2020/34/411,Assam,Chirang,Silbari,26.665204,91.193704,12,7,2020
AS/CRG/2020/34/411,Assam,Chirang,Abadipara,26.593658,90.676383,12,7,2020
AS/CRG/2020/34/411,Assam,Chirang,Tulsijhara (Tulsijhora),26.591462,90.573872,12,7,2020
AS/KAD/2020/34/412,Assam,Karbi-Anglog,Rongbong Pathar,25.978703,93.431439,22,7,2020
AS/KOK/2020/33/408,Assam,Kokrajhar,Anthaibari,26.454223,90.021634,22,7,2020
AS/CRG/2020/32/402,Assam,Chirang,Ballamguri,26.465757,89.970013,7,8,2020
AS/CRG/2020/32/402,Assam,Chirang,Bijni,26.493772,90.702567,7,8,2020
AS/KOK/2020/32/403,Assam,Kokrajhar,Bhotgaon,26.355991,90.238035,8,8,2020
AS/KOK/2020/32/403,Assam,Kokrajhar,Haldibari,26.327427,90.447237,8,8,2020
AS/KOK/2020/32/403,Assam,Kokrajhar,Mukhigaon,26.41508,90.199177,8,8,2020
AS/MAR/2020/32/404,Assam,Marigaon,Ghumatigaon,26.313393,92.504734,5,8,2020
AS/BON/2020/31/393,Assam,Bongaigaon,Kachudola,26.260824,90.497114,29,7,2020
AS/BON/2020/31/393,Assam,Bongaigaon,North Salmara,26.375088,90.615127,29,7,2020
AS/BON/2020/30/385,Assam,Bongaigaon,Bhawlaguri,26.48916,90.536367,22,7,2020
AS/BON/2020/30/385,Assam,Bongaigaon,Kumrakata,26.309592,90.560045,22,7,2020
AS/BON/2020/30/385,Assam,Bongaigaon,Nasatra,26.323386,91.059993,22,7,2020
AS/BON/2020/30/385,Assam,Bongaigaon,Srijangram,26.383275,90.724457,22,7,2020
AS/KAD/2020/30/386,Assam,Karbi-Anglog,Dokhora Bey Gaon,26.427315,93.778519,11,7,2020
AS /NCH/2020 /30 /389,Assam,Dima Hasao,Langting,25.499046,93.113015,24,7,2020
AS/UAL/2020/30/390,Assam,Udalguri,Nisilamari,26.715781,92.344078,24,7,2020
MH/AMN/2020/29/374,Assam,Dhemaji,Borbila,27.476781,94.432426,15,7,2020
MH/AMN/2020/29/375,Assam,Lakhimpur,Morton Chapori,27.063377,94.227219,19,7,2020
MH/AMN/2020/29/379,Assam,Karbi-Anglog,Rongkimi,26.37221,93.261775,4,7,2020
